('OMIM:619340', 0.0)
('OMIM:251280', 0.01930435560643673)
('OMIM:266100', 0.021473241969943047)
('OMIM:617065', 0.02249375358223915)
('OMIM:620033', 0.02262789011001587)
('OMIM:617105', 0.02341277524828911)
('OMIM:619881', 0.02391430363059044)
('OMIM:301058', 0.023992136120796204)
('OMIM:612164', 0.024027930572628975)
('OMIM:609304', 0.024042846634984016)
('OMIM:300607', 0.024135611951351166)
('OMIM:614558', 0.02440165914595127)
('OMIM:300672', 0.024592366069555283)
('ORPHA:289266', 0.02469606325030327)
('OMIM:308350', 0.02506251074373722)
('OMIM:619847', 0.025125103071331978)
('OMIM:617711', 0.025126948952674866)
('OMIM:620024', 0.025349218398332596)
('OMIM:600721', 0.02539704367518425)
('OMIM:617166', 0.02540270984172821)
('OMIM:612949', 0.02544664405286312)
('OMIM:617929', 0.025556862354278564)
('OMIM:618298', 0.025860296562314034)
('OMIM:220120', 0.025902172550559044)
('ORPHA:3006', 0.02592639811336994)
('OMIM:617290', 0.025943828746676445)
('OMIM:613720', 0.026099160313606262)
('OMIM:619605', 0.026157649233937263)
('OMIM:608097', 0.02621123008430004)
('ORPHA:95232', 0.02626890502870083)
('OMIM:619913', 0.026319188997149467)
('OMIM:614231', 0.02641982026398182)
('OMIM:619229', 0.026425428688526154)
('OMIM:617162', 0.02659289538860321)
('OMIM:619239', 0.02662787400186062)
('OMIM:617389', 0.026671186089515686)
('OMIM:613661', 0.026738310232758522)
('OMIM:620145', 0.026758061721920967)
('OMIM:616973', 0.027057986706495285)
('OMIM:300673', 0.027171026915311813)
('OMIM:617933', 0.02719796448945999)
('OMIM:615282', 0.02720733731985092)
('OMIM:245570', 0.02727504074573517)
('OMIM:617132', 0.02729623205959797)
('ORPHA:1934', 0.027372483164072037)
('OMIM:617601', 0.027483375743031502)
('OMIM:618663', 0.027530545368790627)
('OMIM:619606', 0.02753613516688347)
('OMIM:618890', 0.02762569859623909)
('OMIM:615476', 0.027660729363560677)
('OMIM:300884', 0.027674300596117973)
('OMIM:615851', 0.02778875268995762)
